Categories;18 a 29 anos; 30 a 44 anos; 45 a 59 anos; 60 a 74 anos; 75 anos ou mais;
18 a 29 anos;11.1
30 a 44 anos;;12.3
45 a 59 anos;;;15.7
60 a 74 anos;;;;13.3
75 anos ou mais;;;;;7.7
