Categories;Até 1/2 SM;1/2 até 1 SM;1 até 2 SM;2 até 3 SM;Mais de 3 SM;
Até 1/2 SM;15.5
1/2 até 1 SM;;13.8
1 até 2 SM;;;12.0
2 até 3 SM;;;;10.5
Mais de 3 SM;;;;;8.9
