Categories;Sem instrução e fundamental;Fundamental completo e médio incompleto;Médio completo e superior incompleto;Superior completo
Fundamental incompleto ou equivalente;10,9
Médio incompleto ou equivalente;;9,4
Superior incompleto ou equivalente;;;9,0
Superior completo;;;;12,2
